country,country_code,year,value
Australia,AUS,2025,4.09
Australia,AUS,2024,3.942
Australia,AUS,2023,3.668
Australia,AUS,2022,3.728
Australia,AUS,2021,5.022
Australia,AUS,2020,6.394
Australia,AUS,2019,5.143
Australia,AUS,2018,5.345
Australia,AUS,2017,5.592
Australia,AUS,2016,5.711
Australia,AUS,2015,6.055
Australia,AUS,2014,6.078
Australia,AUS,2013,5.663
Australia,AUS,2012,5.225
Australia,AUS,2011,5.083
Australia,AUS,2010,5.214
Australia,AUS,2009,5.565
Australia,AUS,2008,4.242
Australia,AUS,2007,4.381
Australia,AUS,2006,4.785
Australia,AUS,2005,5.036
Australia,AUS,2004,5.399
Australia,AUS,2003,5.933
Australia,AUS,2002,6.375
Australia,AUS,2001,6.747
Australia,AUS,2000,6.288
Australia,AUS,1999,6.876
Australia,AUS,1998,7.684
Australia,AUS,1997,8.367
Australia,AUS,1996,8.509
Australia,AUS,1995,8.473
Australia,AUS,1994,9.724
Australia,AUS,1993,10.879
Australia,AUS,1992,10.733
Australia,AUS,1991,9.586
Australia,AUS,1990,
Australia,AUS,1989,
Australia,AUS,1988,
Australia,AUS,1987,
Australia,AUS,1986,
Australia,AUS,1985,
Australia,AUS,1984,
Australia,AUS,1983,
Australia,AUS,1982,
Australia,AUS,1981,
Australia,AUS,1980,
Australia,AUS,1979,
Australia,AUS,1978,
Australia,AUS,1977,
Australia,AUS,1976,
Australia,AUS,1975,
Australia,AUS,1974,
Australia,AUS,1973,
Australia,AUS,1972,
Australia,AUS,1971,
Australia,AUS,1970,
Australia,AUS,1969,
Australia,AUS,1968,
Australia,AUS,1967,
Australia,AUS,1966,
Australia,AUS,1965,
Australia,AUS,1964,
Australia,AUS,1963,
Australia,AUS,1962,
Australia,AUS,1961,
Australia,AUS,1960,
