country,country_code,year,value
Canada,CAN,2025,41651653
Canada,CAN,2024,41262329
Canada,CAN,2023,40049088
Canada,CAN,2022,38950132
Canada,CAN,2021,38239864
Canada,CAN,2020,38028638
Canada,CAN,2019,37618495
Canada,CAN,2018,37072620
Canada,CAN,2017,36545075
Canada,CAN,2016,36110803
Canada,CAN,2015,35704498
Canada,CAN,2014,35434066
Canada,CAN,2013,35080992
Canada,CAN,2012,34713395
Canada,CAN,2011,34339221
Canada,CAN,2010,34005902
Canada,CAN,2009,33630069
Canada,CAN,2008,33247298
Canada,CAN,2007,32888886
Canada,CAN,2006,32571193
Canada,CAN,2005,32242732
Canada,CAN,2004,31938807
Canada,CAN,2003,31642461
Canada,CAN,2002,31359199
Canada,CAN,2001,31020855
Canada,CAN,2000,30685730
Canada,CAN,1999,30401286
Canada,CAN,1998,30155173
Canada,CAN,1997,29905948
Canada,CAN,1996,29610218
Canada,CAN,1995,29302311
Canada,CAN,1994,29000663
Canada,CAN,1993,28684764
Canada,CAN,1992,28371264
Canada,CAN,1991,28037420
Canada,CAN,1990,27691138
Canada,CAN,1989,27276781
Canada,CAN,1988,26791747
Canada,CAN,1987,26446601
Canada,CAN,1986,26100278
Canada,CAN,1985,25842116
Canada,CAN,1984,25607053
Canada,CAN,1983,25366451
Canada,CAN,1982,25116942
Canada,CAN,1981,24819915
Canada,CAN,1980,24515667
Canada,CAN,1979,24201544
Canada,CAN,1978,23963203
Canada,CAN,1977,23725843
Canada,CAN,1976,23449808
Canada,CAN,1975,23143275
Canada,CAN,1974,22807969
Canada,CAN,1973,22491777
Canada,CAN,1972,22218463
Canada,CAN,1971,21962032
Canada,CAN,1970,21324000
Canada,CAN,1969,21028000
Canada,CAN,1968,20744000
Canada,CAN,1967,20412000
Canada,CAN,1966,20048000
Canada,CAN,1965,19678000
Canada,CAN,1964,19325000
Canada,CAN,1963,18964000
Canada,CAN,1962,18614000
Canada,CAN,1961,18271000
Canada,CAN,1960,17909356
